0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:17:42 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:17:42 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:17:42 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:17:52 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:18:15 +0800] "GET /monkeyLife/ HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:18:15 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 200 1398
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:18:15 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:18:15 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:18:15 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:18:24 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:08 +0800] "GET /monkeyLife/ HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:08 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 200 1398
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:08 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:08 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:08 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:08 +0800] "GET /monkeyLife/image/dock/backgroundImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:08 +0800] "GET /monkeyLife/image/dock/background_001.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:17 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:17 +0800] "GET /monkeyLife/image/dock/monkey.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:17 +0800] "GET /monkeyLife/image/dock/Japanese.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:17 +0800] "GET /monkeyLife/image/dock/Feeling.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:17 +0800] "GET /monkeyLife/image/dock/English.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:17 +0800] "GET /monkeyLife/image/dock/Memory.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:17 +0800] "GET /monkeyLife/image/dock/Life.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:17 +0800] "GET /monkeyLife/image/dock/Contacts.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:46 +0800] "GET /monkeyLife/ HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:46 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:46 +0800] "GET /monkeyLife/js/fisheye-iutil.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:46 +0800] "GET /monkeyLife/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:46 +0800] "GET /monkeyLife/js/jquery.jqDock.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:46 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:46 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:46 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:19:55 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:20:07 +0800] "GET /monkeyLife/ HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:20:07 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:20:07 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:20:07 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:20:07 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:20:14 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:20:40 +0800] "GET /monkeyLife/ HTTP/1.1" 200 2585
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:20:41 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 304 -
